Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score,Racist (Y/N),State Abbreviation,Valid City Data (Y/N)
3837,0,301,476,3,0,0,Wed Apr 29 20:08:07 +0000 2015,,"Texas, USA",Amin Hussain,35957,jews are,jews,iaminpk10,Sun Sep 24 13:19:37 +0000 2017,#Muslim society will be part of bigger #Christian society everywhere in West in next 50 yrs #Jews are distant minorÄ https://t.co/FJmOrLM2IW,3179622204,Hate speech,0,n,TX,n
3839,0,123,165,0,1,0,Tue May 16 16:16:38 +0000 2017,15446531,United States,Press 1 for English,4175,jews are,jews,microsoft9000,Sun Sep 24 13:15:48 +0000 2017,@mattyglesias Why are jews so underrepresented in US military service?,8.65E+17,Hate speech,0,n,,n
3840,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49833,jews are,jews,MeriamSusan,Sun Sep 24 13:09:24 +0000 2017,jews are fake,7.87E+17,Hate speech,-0.4767,y,ID,y
3841,3,10110,8901,4,0,1,Tue May 05 16:15:36 +0000 2009,,Israel,JerusalemOnline,27417,jews are,jews,JOL_NEWS,Sun Sep 24 12:55:04 +0000 2017,"Ahead of #Germanyelections, #German #Jews alarmed about rising right-wing #AFD party: 'We have to unite against it' https://t.co/rpH6Mp1Zn1",37956022,Hate speech,-0.25,n,,n
3842,0,1238,1066,0,1,0,Tue May 05 00:59:09 +0000 2015,3185759629,"New Jersey, USA",David Greco,19533,jews are,jews,DaveGreco33,Sun Sep 24 12:46:56 +0000 2017,@theintercept Americans. Your lies are just a continuation of the Zionist Jews race baiting and attacks on AmericanÄ https://t.co/gRrj2zSb1M,3185759629,Hate speech,-0.3182,y,NJ,y
3844,0,956,1644,0,2,0,Tue Mar 07 19:16:28 +0000 2017,1132664402,"Michigan, USA",Cindy,3155,jews are,jews,Hanky0705,Sun Sep 24 12:30:45 +0000 2017,@mulatta10 @ShaunKing FYI white supremacist hate Jews. His grandchildren are Jewish. He has Jewish friends can you explain that?????????????,8.39E+17,Hate speech,-0.25,n,MI,y
3847,0,183,357,0,2,0,Tue Mar 06 16:26:37 +0000 2012,9.10E+17,"Lancaster, Pennsylvania ","Efrain R., BSN,RN",9193,jews are,jews,zdor17602,Sun Sep 24 12:15:50 +0000 2017,"@ParrotyJokes @whbm U read how the name came to be? Nope, you are ignorant to its meaning. And tell your kind ""JewsÄ https://t.co/facQbZ1w7f",516652952,Hate speech,-0.3182,y,PA,y
3849,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49833,jews are,jews,MeriamSusan,Sun Sep 24 11:49:23 +0000 2017,the jews are completely sinners,7.87E+17,Hate speech,0,y,ID,y
3852,0,74,32,0,4,0,Wed May 01 21:01:03 +0000 2013,861344060,NJ,Barry Rosen,9359,jews are,jews,BarryRosen1,Sun Sep 24 11:25:17 +0000 2017,@ChrisRulon @Israel911Facts @ValeriePlame @johnramos91 Bin Laden also tried to say the Jews were behind 9/11 in 200Ä https://t.co/zSWIoCwfvx,1395571730,Hate speech,-0.4215,y,NJ,y
3856,0,1428,784,0,0,0,Fri Jun 09 20:41:10 +0000 2017,,"El Paso, TX",Keep America,20826,jews are,jews,KeepOutUSA,Sun Sep 24 10:44:05 +0000 2017,What are your view on Jews/Zionists? | whatever https://t.co/F5YmizPoKx,8.73E+17,Hate speech,-0.1911,y,TX,y
3857,0,83,68,0,1,0,Wed Dec 24 20:53:36 +0000 2014,807095,"New Orleans, LA",CHARLES,25516,jews are,jews,JULY191947,Sun Sep 24 09:32:18 +0000 2017,@nytimes NYT= NEY YORK COMMUNISTS JEWS WHO ARE FULL OF SHIT!,2942219102,Hate speech,0,y,LA,y
3859,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49833,jews are,jews,MeriamSusan,Sun Sep 24 08:19:23 +0000 2017,the jews are always sinners,7.87E+17,Hate speech,-0.6705,y,ID,y
